TimeStamp,HeartRate,BreathRate
1599672348,77.21,20.27
1599672378,74.43,17.02
1599672408,72.34,14.27
1599672438,72.34,14.27
1599672468,74.82,14.27
1599672498,77.43,14.27
1599672528,71.32,14.27
1599672558,73.92,14.27
1599672588,70.15,17.16
1599672618,73.65,17.34
1599672648,70.24,15.29
1599672678,70.24,11.81
1599672708,70.22,11.81
1599672738,70.62,11.81
1599672768,71.79,11.81
1599672798,71.93,11.81
1599672828,71.73,18.22
1599672858,76.8,17.2
1599672888,70.71,14.56
1599672918,70.45,17.47
1599672948,69.86,17.37
1599672978,80.32,16.47
1599673008,86.2,16.47
1599673038,86.5,16.47
1599673068,82.96,15.61
1599673098,73.19,16.91
1599673128,75.66,13.51
1599673158,74.02,14.69
1599673188,68.02,15.83
1599673218,79.59,15.83
1599673248,69.81,15.83
1599673278,68.86,15.83
1599673308,77.31,16.05
1599673338,66.36,15.51
1599673368,65.07,15.72
1599673398,85.52,9.64
1599673428,85.52,9.64
1599673458,85.52,9.64
1599673488,67.26,9.64
1599673518,71.29,9.64
1599673548,66.29,15.53
1599673578,64.8,17.84
1599673608,64.92,11.67
1599673638,67.09,15.35
1599673668,69.59,15.35
1599673698,68.01,15.35
1599673728,69.21,15.35
1599673758,67.5,15.35
1599673788,65.29,16.76
1599673818,66.54,15.15
1599673848,67.52,15.15
1599673878,65.22,15.15
1599673908,63.23,15.15
1599673938,63.23,15.15
1599673968,64.95,15.15
1599673998,66.65,15.15
1599674028,67.95,15.15
1599674058,62.24,15.15
1599674088,64.32,15.15
1599674118,52.66,15.15
1599674148,67.28,15.15
1599674178,64.25,15.15
1599674208,62.69,15.15
1599674238,65.67,15.15
1599674268,62.81,17.24
1599674298,65.39,14.32
1599674328,63.93,14.32
1599674358,64.68,14.32
1599674388,62.03,14.32
1599674418,66.46,14.32
1599674448,65.47,14.32
1599674478,64.09,14.32
1599674508,65.22,18.09
1599674538,65.36,18.09
1599674568,69.07,18.09
1599674598,60.1,18.09
1599674628,64.76,18.09
1599674658,61.57,18.09
1599674688,62.25,18.09
1599674718,61.81,18.09
1599674748,62.54,16.5
1599674778,63.01,16.8
1599674808,60.79,15.28
1599674838,61.55,15.13
1599674868,65.11,15.23
1599674898,63.94,15.23
1599674928,64.34,15.23
1599674958,63.37,15.23
1599674988,62.97,15.91
1599675018,61.76,15.7
1599675048,65.68,16.16
1599675078,71.63,16.7
1599675108,74.73,17.12
1599675138,65.02,11.58
1599675168,67.11,11.58
1599675198,63.02,11.58
1599675228,67.25,17.06
1599675258,65.44,13.5
1599675288,68.37,15.14
1599675318,64.7,15.14
1599675348,66.97,15.14
1599675378,66.76,15.14
1599675408,64.86,15.14
1599675438,65.22,15.14
1599675468,66.0,11.8
1599675498,66.12,14.41
1599675528,63.68,16.27
1599675558,68.0,15.39
1599675588,67.48,16.11
1599675618,66.04,16.3
1599675648,66.75,16.3
1599675678,66.69,16.3
1599675708,66.69,16.42
1599675738,65.95,15.82
1599675768,67.35,15.82
1599675798,64.39,15.82
1599675828,65.62,15.82
1599675858,66.4,15.82
1599675888,65.43,15.82
1599675918,64.75,15.82
1599675948,66.1,17.12
1599675978,66.1,14.62
1599676008,72.5,14.9
1599676038,72.5,14.9
1599676068,72.8,14.9
1599676098,70.69,14.9
1599676128,66.33,14.9
1599676158,66.95,14.9
1599676188,65.51,14.81
1599676218,64.95,14.87
1599676248,65.2,15.67
1599676278,63.73,15.8
1599676308,63.61,14.69
1599676338,65.77,14.29
1599676368,64.32,15.41
1599676398,65.9,15.41
1599676428,67.04,15.7
1599676458,62.7,16.16
1599676488,62.9,15.17
1599676518,63.93,15.79
1599676548,61.33,16.33
1599676578,65.31,14.7
1599676608,70.35,14.7
1599676638,70.15,14.7
1599676668,64.13,15.49
1599676698,62.74,15.67
1599676728,62.42,15.81
1599676758,63.46,16.95
1599676788,66.08,14.84
1599676818,62.29,14.99
1599676848,64.27,14.99
1599676878,63.4,14.99
1599676908,63.41,15.14
1599676938,61.68,14.79
1599676968,63.53,15.54
1599676998,61.56,16.82
1599677028,62.61,14.96
1599677058,61.67,15.81
1599677088,65.01,15.81
1599677118,61.96,15.81
1599677148,61.78,18.29
1599677178,61.54,16.42
1599677208,61.46,16.91
1599677238,64.9,18.13
1599677268,60.06,15.66
1599677298,62.16,20.24
1599677328,60.59,16.76
1599677358,62.94,16.23
1599677388,61.45,16.69
1599677418,61.45,16.89
1599677448,61.45,17.46
1599677478,72.91,15.94
1599677508,70.43,15.94
1599677538,67.56,15.94
1599677568,68.39,15.94
1599677598,65.81,15.94
1599677628,62.59,14.42
1599677658,68.44,14.85
1599677688,68.4,14.8
1599677718,64.74,15.75
1599677748,65.99,14.58
1599677778,66.4,14.58
1599677808,63.86,14.58
1599677838,64.16,14.58
1599677868,63.07,15.73
1599677898,62.18,16.7
1599677928,63.34,15.81
1599677958,62.49,16.52
1599677988,62.19,15.21
1599678018,61.38,14.55
1599678048,63.33,14.55
1599678078,63.33,14.55
1599678108,62.28,15.57
1599678138,60.12,16.57
1599678168,59.08,15.81
1599678198,63.85,16.18
1599678228,60.35,13.32
1599678258,62.29,15.85
1599678288,61.71,15.53
1599678318,59.59,15.53
1599678348,61.7,16.34
1599678378,60.53,17.15
1599678408,60.58,15.88
1599678438,59.18,14.87
1599678468,61.86,14.87
1599678498,62.07,14.87
1599678528,59.86,14.87
1599678558,58.16,14.87
1599678588,61.25,14.14
1599678618,57.79,23.62
1599678648,59.4,14.56
1599678678,60.55,17.06
1599678708,60.38,15.03
1599678738,61.1,14.58
1599678768,57.76,16.87
1599678798,59.41,16.35
1599678828,58.08,16.17
1599678858,58.91,14.83
1599678888,60.26,15.98
1599678918,61.43,15.61
1599678948,59.31,16.53
1599678978,60.29,16.17
1599679008,61.11,16.95
1599679038,59.41,18.03
1599679068,62.4,15.37
1599679098,60.5,15.27
1599679128,61.17,17.48
1599679158,60.19,15.16
1599679188,60.86,16.32
1599679218,60.14,15.57
1599679248,60.32,16.08
1599679278,60.21,16.22
1599679308,61.28,15.65
1599679338,61.64,15.38
1599679368,61.52,18.34
1599679398,62.09,16.78
1599679428,61.9,18.07
1599679458,60.93,15.79
