TimeStamp,HeartRate,BreathRate
1603640925,75.58,11.35
1603640955,76.44,21.04
1603640985,87.62,11.2
1603641015,87.62,15.32
1603641045,87.62,16.22
1603641075,87.62,16.22
1603641105,77.43,16.22
1603641135,76.47,16.22
1603641165,75.46,17.92
1603641195,75.38,19.79
1603641225,75.36,18.98
1603641255,81.85,20.7
1603641285,81.85,13.21
1603641315,81.85,13.19
1603641345,76.34,20.38
1603641375,76.22,20.38
1603641405,75.44,21.21
1603641435,75.38,21.1
1603641465,75.39,21.22
1603641495,75.54,21.28
1603641525,75.43,20.78
1603641555,75.39,20.2
1603641585,75.39,20.0
1603641615,75.38,20.0
1603641645,75.38,20.35
1603641675,75.62,21.1
1603641705,75.39,20.69
1603641735,75.39,20.6
1603641765,75.39,21.99
1603641795,75.39,20.03
1603641825,75.38,20.03
1603641855,75.39,20.03
1603641885,75.38,21.55
1603641915,75.4,20.83
1603641945,75.4,20.72
1603641975,75.39,21.35
1603642005,75.4,20.63
1603642035,75.38,20.58
1603642065,75.38,20.07
1603642095,75.39,20.07
1603642125,75.39,20.48
1603642155,75.39,18.62
1603642185,75.39,19.38
1603642215,75.39,18.45
1603642245,75.4,18.66
1603642275,75.39,17.48
1603642305,75.39,18.27
1603642335,75.39,18.01
1603642365,75.38,17.34
1603642395,75.39,18.11
1603642425,75.39,18.84
1603642455,75.39,17.63
1603642485,75.39,18.32
1603642515,75.39,17.5
1603642545,75.38,17.63
1603642575,75.38,18.32
1603642605,75.38,17.79
1603642635,75.68,17.96
1603642665,75.39,18.03
1603642695,75.4,17.16
1603642725,75.41,18.36
1603642755,75.4,17.18
1603642785,75.39,17.05
1603642815,75.4,18.82
1603642845,75.38,18.09
1603642875,75.39,16.89
1603642905,75.68,17.52
1603642935,75.4,17.92
1603642965,75.4,17.53
1603642995,75.41,18.05
1603643025,75.41,17.48
1603643055,75.4,17.12
1603643085,75.39,16.87
1603643115,75.4,17.23
1603643145,75.39,17.2
1603643175,75.39,17.23
1603643205,75.39,17.44
1603643235,75.38,17.05
1603643265,75.38,16.93
1603643295,75.38,17.32
1603643325,75.38,17.5
1603643355,75.39,17.23
1603643385,75.39,17.3
1603643415,75.4,17.42
1603643445,75.39,17.01
1603643475,75.39,17.12
1603643505,75.39,17.14
1603643535,75.39,16.61
1603643565,75.37,17.24
1603643595,75.4,17.99
1603643625,75.39,17.22
1603643655,75.39,17.22
1603643685,75.38,16.65
1603643715,75.39,16.84
1603643745,75.4,18.03
1603643775,75.38,17.65
1603643805,75.36,17.52
1603643835,75.38,17.88
1603643865,75.39,17.12
1603643895,75.39,17.63
1603643925,75.38,17.03
1603643955,75.39,18.01
1603643985,75.39,17.58
1603644015,75.38,17.05
1603644045,75.38,16.94
1603644075,75.39,16.87
1603644105,76.05,17.0
1603644135,75.39,17.16
1603644165,75.38,17.2
1603644195,75.38,17.75
1603644225,75.4,18.18
1603644255,75.39,16.57
1603644285,75.37,17.48
1603644315,75.39,16.75
1603644345,75.38,17.1
1603644375,75.39,17.01
1603644405,75.38,17.32
1603644435,75.4,17.67
1603644465,75.42,16.87
1603644495,75.42,17.73
1603644525,75.37,17.94
1603644555,75.38,17.81
1603644585,75.38,19.07
1603644615,75.4,17.44
1603644645,75.4,18.93
1603644675,75.4,17.77
1603644705,75.39,18.4
1603644735,75.39,18.67
1603644765,75.38,18.25
1603644795,75.39,17.14
1603644825,75.4,16.78
1603644855,75.39,18.63
1603644885,75.38,17.86
1603644915,75.39,17.9
1603644945,75.39,17.3
1603644975,75.4,17.56
1603645005,75.39,20.46
1603645035,75.41,17.96
1603645065,75.4,17.67
1603645095,75.38,19.57
1603645125,75.39,18.53
1603645155,75.39,18.27
1603645185,75.4,18.11
1603645215,75.43,18.11
1603645245,75.38,18.35
1603645275,75.37,18.99
1603645305,75.38,19.21
1603645335,75.39,18.38
1603645365,75.4,18.61
1603645395,75.39,17.81
1603645425,75.39,18.14
1603645455,75.4,18.14
1603645485,75.36,18.03
1603645515,75.4,17.73
1603645545,75.38,18.48
1603645575,75.4,17.67
1603645605,75.39,19.08
1603645635,75.39,18.12
